"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00168","","","","10","5","1","1","1","2","1","5","21","28","13.8","0.86","21.02","5.46","14.66","35.68","49","0.657142857","0.030714286","0.299183673","9.8","4.9","4.2","2.1","2.932","1.466","4.204","2.102","42.85714286","41.08744395","50","46","48.86666667","70.06666667","118.9333333","92","97.73333333","140.1333333","237.8666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00169","","","","10","2","1","1","6","2","1","2","2","0","0.36","0","3.19","3.03","0.36","3.55","2","0.18","","0.18","1","0.2","1","0.2","0.18","0.036","1.595","0.319","100","10.14084507","20","1.2","1.2","10.63333333","11.83333333","6","6","53.16666667","59.16666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00191","","","","10","7","3","1","2","2","2","7","7","10","1","0.4","17.27","5.46","1.4","18.67","17","0.142857143","0.04","0.082352941","2.428571429","1.7","1","0.7","0.2","0.14","2.467142857","1.727","41.17647059","7.498660953","70","3.333333333","4.666666667","57.56666667","62.23333333","4.761904762","6.666666667","82.23809524","88.9047619"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00213","","","","10","8","1","1","2","2","2","5","9","9","2.4","0.19","30.17","5.46","2.59","32.76","18","0.266666667","0.021111111","0.143888889","3.6","1.8","1.8","0.9","0.518","0.259","6.034","3.017","50","7.905982906","50","8","8.633333333","100.5666667","109.2","16","17.26666667","201.1333333","218.4"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00236","","","","10","7","1","1","3","2","1","5","0","10","0","0.36","7.19","1.04","0.36","7.55","10","","0.036","0.036","2","1","0","0","0.072","0.036","1.438","0.719","0","4.768211921","50","0","1.2","23.96666667","25.16666667","0","2.4","47.93333333","50.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00258","","","","10","9","3","1","3","2","1","7","8","9","1.8","0.32","5.13","4.41","2.12","7.25","17","0.225","0.035555556","0.124705882","2.428571429","1.7","1.142857143","0.8","0.302857143","0.212","0.732857143","0.513","47.05882353","29.24137931","70","6","7.066666667","17.1","24.16666667","8.571428571","10.0952381","24.42857143","34.52380952"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00280","","","","10","4","1","1","3","1","1","4","4","12","1.5","0.24","10.21","5.46","1.74","11.95","16","0.375","0.02","0.10875","4","1.6","1","0.4","0.435","0.174","2.5525","1.021","25","14.56066946","40","5","5.8","34.03333333","39.83333333","12.5","14.5","85.08333333","99.58333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00281","","","","10","4","1","1","3","3","2","4","4","2","0.8","0.4","2.69","3.03","1.2","3.89","6","0.2","0.2","0.2","1.5","0.6","1","0.4","0.3","0.12","0.6725","0.269","66.66666667","30.84832905","40","2.666666667","4","8.966666667","12.96666667","6.666666667","10","22.41666667","32.41666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00303","","","","10","5","3","1","2","3","1","4","12","16","2.2","1.2","17.25","1.04","3.4","20.65","28","0.183333333","0.075","0.121428571","7","2.8","3","1.2","0.85","0.34","4.3125","1.725","42.85714286","16.46489104","40","7.333333333","11.33333333","57.5","68.83333333","18.33333333","28.33333333","143.75","172.0833333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00325","","","","10","6","3","1","2","1","2","5","8","11","5.2","0.39","11.17","6.12","5.59","16.76","19","0.65","0.035454545","0.294210526","3.8","1.9","1.6","0.8","1.118","0.559","2.234","1.117","42.10526316","33.35322196","50","17.33333333","18.63333333","37.23333333","55.86666667","34.66666667","37.26666667","74.46666667","111.7333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00348","","","","10","8","3","1","3","3","2","5","7","6","1.2","0.26","9.15","5.49","1.46","10.61","13","0.171428571","0.043333333","0.112307692","2.6","1.3","1.4","0.7","0.292","0.146","1.83","0.915","53.84615385","13.7606032","50","4","4.866666667","30.5","35.36666667","8","9.733333333","61","70.73333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00370","","","","10","10","3","1","2","3","2","9","9","11","3.4","0.8","5.17","3.03","4.2","9.37","20","0.377777778","0.072727273","0.21","2.222222222","2","1","0.9","0.466666667","0.42","0.574444444","0.517","45","44.82390608","90","11.33333333","14","17.23333333","31.23333333","12.59259259","15.55555556","19.14814815","34.7037037"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00392","","","","10","8","1","1","1","2","1","8","15","31","3","1","13.11","7.23","4","17.11","46","0.2","0.032258065","0.086956522","5.75","4.6","1.875","1.5","0.5","0.4","1.63875","1.311","32.60869565","23.37814144","80","10","13.33333333","43.7","57.03333333","12.5","16.66666667","54.625","71.29166667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00393","","","","10","4","2","1","1","3","","4","15","24","7.4","1.4","30.18","4.61","8.8","38.98","39","0.493333333","0.058333333","0.225641026","9.75","3.9","3.75","1.5","2.2","0.88","7.545","3.018","38.46153846","22.57567984","40","24.66666667","29.33333333","100.6","129.9333333","61.66666667","73.33333333","251.5","324.8333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00415","","","","10","10","4","2","2","2","1","7","13","6","3.2","0.16","14.17","3.76","3.36","17.53","19","0.246153846","0.026666667","0.176842105","2.714285714","1.9","1.857142857","1.3","0.48","0.336","2.024285714","1.417","68.42105263","19.16714204","70","10.66666667","11.2","47.23333333","58.43333333","15.23809524","16","67.47619048","83.47619048"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00437","","","","10","5","3","1","2","3","2","5","11","13","6.4","0.6","18.17","5.49","7","25.17","24","0.581818182","0.046153846","0.291666667","4.8","2.4","2.2","1.1","1.4","0.7","3.634","1.817","45.83333333","27.81088598","50","21.33333333","23.33333333","60.56666667","83.9","42.66666667","46.66666667","121.1333333","167.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00460","","","","10","7","3","1","3","3","2","6","7","9","1.5","0.24","11.17","3.03","1.74","12.91","16","0.214285714","0.026666667","0.10875","2.666666667","1.6","1.166666667","0.7","0.29","0.174","1.861666667","1.117","43.75","13.47792409","60","5","5.8","37.23333333","43.03333333","8.333333333","9.666666667","62.05555556","71.72222222"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00482","","","","10","10","3","1","3","3","1","6","5","9","2.5","0.27","13.13","3.76","2.77","15.9","14","0.5","0.03","0.197857143","2.333333333","1.4","0.833333333","0.5","0.461666667","0.277","2.188333333","1.313","35.71428571","17.42138365","60","8.333333333","9.233333333","43.76666667","53","13.88888889","15.38888889","72.94444444","88.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00504","","","","10","7","1","1","2","2","2","7","11","13","3.5","0.52","15.11","3.76","4.02","19.13","24","0.318181818","0.04","0.1675","3.428571429","2.4","1.571428571","1.1","0.574285714","0.402","2.158571429","1.511","45.83333333","21.01411396","70","11.66666667","13.4","50.36666667","63.76666667","16.66666667","19.14285714","71.95238095","91.0952381"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00505","","","","10","7","3","1","1","2","2","7","11","6","3","0.2","16.21","1.32","3.2","19.41","17","0.272727273","0.033333333","0.188235294","2.428571429","1.7","1.571428571","1.1","0.457142857","0.32","2.315714286","1.621","64.70588235","16.48634724","70","10","10.66666667","54.03333333","64.7","14.28571429","15.23809524","77.19047619","92.42857143"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00527","","","","10","8","3","1","2","2","2","8","6","9","8.5","0.4","12.08","4.92","8.9","20.98","15","1.416666667","0.044444444","0.593333333","1.875","1.5","0.75","0.6","1.1125","0.89","1.51","1.208","40","42.42135367","80","28.33333333","29.66666667","40.26666667","69.93333333","35.41666667","37.08333333","50.33333333","87.41666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00549","","","","10","8","2","1","4","2","1","8","3","8","0.6","0.24","5.16","4.41","0.84","6","11","0.2","0.03","0.076363636","1.375","1.1","0.375","0.3","0.105","0.084","0.645","0.516","27.27272727","14","80","2","2.8","17.2","20","2.5","3.5","21.5","25"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00572","","","","10","7","1","1","7","","","7","6","9","0.8","0.24","6.12","5.49","1.04","7.16","15","0.133333333","0.026666667","0.069333333","2.142857143","1.5","0.857142857","0.6","0.148571429","0.104","0.874285714","0.612","40","14.52513966","70","2.666666667","3.466666667","20.4","23.86666667","3.80952381","4.952380952","29.14285714","34.0952381"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00594","","","","10","6","2","1","2","2","2","6","12","6","3","0.2","3.16","4.92","3.2","6.36","18","0.25","0.033333333","0.177777778","3","1.8","2","1.2","0.533333333","0.32","0.526666667","0.316","66.66666667","50.31446541","60","10","10.66666667","10.53333333","21.2","16.66666667","17.77777778","17.55555556","35.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00616","","","","10","4","1","1","1","","","3","10","32","2","1.8","26.21","4.92","3.8","30.01","42","0.2","0.05625","0.09047619","14","4.2","3.333333333","1","1.266666667","0.38","8.736666667","2.621","23.80952381","12.66244585","30","6.666666667","12.66666667","87.36666667","100.0333333","22.22222222","42.22222222","291.2222222","333.4444444"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00617","","","","10","5","1","1","2","2","2","4","8","4","3","0.16","8.14","6.12","3.16","11.3","12","0.375","0.04","0.263333333","3","1.2","2","0.8","0.79","0.316","2.035","0.814","66.66666667","27.96460177","40","10","10.53333333","27.13333333","37.66666667","25","26.33333333","67.83333333","94.16666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00639","","","","10","7","3","1","2","3","2","7","3","0","0.5","0","4.16","0","0.5","4.66","3","0.166666667","","0.166666667","0.428571429","0.3","0.428571429","0.3","0.071428571","0.05","0.594285714","0.416","100","10.72961373","70","1.666666667","1.666666667","13.86666667","15.53333333","2.380952381","2.380952381","19.80952381","22.19047619"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00661","","","","10","7","3","1","2","3","2","5","0","0","0","0","0.6","","0","0.6","0","","","","0","0","0","0","0","0","0.12","0.06","","0","50","0","0","2","2","0","0","4","4"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00684","","","","10","5","1","1","4","2","1","5","0","6","0","0.1","6.16","1.17","0.1","6.26","6","","0.016666667","0.016666667","1.2","0.6","0","0","0.02","0.01","1.232","0.616","0","1.597444089","50","0","0.333333333","20.53333333","20.86666667","0","0.666666667","41.06666667","41.73333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00706","","","","10","5","1","1","1","2","2","5","11","11","5","0.68","1.61","1.32","5.68","7.29","22","0.454545455","0.061818182","0.258181818","4.4","2.2","2.2","1.1","1.136","0.568","0.322","0.161","50","77.91495199","50","16.66666667","18.93333333","5.366666667","24.3","33.33333333","37.86666667","10.73333333","48.6"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00728","","","","10","5","1","1","2","1","1","5","7","3","0.8","0.08","8.69","4.41","0.88","9.57","10","0.114285714","0.026666667","0.088","2","1","1.4","0.7","0.176","0.088","1.738","0.869","70","9.195402299","50","2.666666667","2.933333333","28.96666667","31.9","5.333333333","5.866666667","57.93333333","63.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00729","","","","10","6","3","1","1","2","2","6","12","16","3","0.68","10.06","6.12","3.68","13.74","28","0.25","0.0425","0.131428571","4.666666667","2.8","2","1.2","0.613333333","0.368","1.676666667","1.006","42.85714286","26.78311499","60","10","12.26666667","33.53333333","45.8","16.66666667","20.44444444","55.88888889","76.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00751","","","","10","5","3","1","1","3","1","5","9","7","6.5","0.4","20.19","3.76","6.9","27.09","16","0.722222222","0.057142857","0.43125","3.2","1.6","1.8","0.9","1.38","0.69","4.038","2.019","56.25","25.47065338","50","21.66666667","23","67.3","90.3","43.33333333","46","134.6","180.6"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00773","","","","10","6","1","1","3","2","1","6","0","5","0","0.24","7.16","4.41","0.24","7.4","5","","0.048","0.048","0.833333333","0.5","0","0","0.04","0.024","1.193333333","0.716","0","3.243243243","60","0","0.8","23.86666667","24.66666667","0","1.333333333","39.77777778","41.11111111"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00796","","","","10","7","3","1","1","3","2","7","14","8","4.5","0.32","20.14","5.46","4.82","24.96","22","0.321428571","0.04","0.219090909","3.142857143","2.2","2","1.4","0.688571429","0.482","2.877142857","2.014","63.63636364","19.31089744","70","15","16.06666667","67.13333333","83.2","21.42857143","22.95238095","95.9047619","118.8571429"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00818","","","","10","7","3","1","1","2","2","7","14","10","5","0.6","8.13","4.92","5.6","13.73","24","0.357142857","0.06","0.233333333","3.428571429","2.4","2","1.4","0.8","0.56","1.161428571","0.813","58.33333333","40.78659869","70","16.66666667","18.66666667","27.1","45.76666667","23.80952381","26.66666667","38.71428571","65.38095238"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00840","","","","10","5","2","1","1","","","5","8","4","1.5","0.44","17.19","3.76","1.94","19.13","12","0.1875","0.11","0.161666667","2.4","1.2","1.6","0.8","0.388","0.194","3.438","1.719","66.66666667","10.14113957","50","5","6.466666667","57.3","63.76666667","10","12.93333333","114.6","127.5333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00841","","","","10","5","2","1","1","","","5","3","3","2.5","0.1","1.66","7.76","2.6","4.26","6","0.833333333","0.033333333","0.433333333","1.2","0.6","0.6","0.3","0.52","0.26","0.332","0.166","50","61.03286385","50","8.333333333","8.666666667","5.533333333","14.2","16.66666667","17.33333333","11.06666667","28.4"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00863","","","","10","6","3","1","1","3","","6","16","5","5","0.22","21.21","3.03","5.22","26.43","21","0.3125","0.044","0.248571429","3.5","2.1","2.666666667","1.6","0.87","0.522","3.535","2.121","76.19047619","19.75028377","60","16.66666667","17.4","70.7","88.1","27.77777778","29","117.8333333","146.8333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00885","","","","10","7","3","1","1","3","2","6","10","4","4.4","0.24","13.19","5.46","4.64","17.83","14","0.44","0.06","0.331428571","2.333333333","1.4","1.666666667","1","0.773333333","0.464","2.198333333","1.319","71.42857143","26.0235558","60","14.66666667","15.46666667","43.96666667","59.43333333","24.44444444","25.77777778","73.27777778","99.05555556"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00908","","","","10","6","2","1","1","2","1","6","14","2","7","0.1","22.25","3.03","7.1","29.35","16","0.5","0.05","0.44375","2.666666667","1.6","2.333333333","1.4","1.183333333","0.71","3.708333333","2.225","87.5","24.19080068","60","23.33333333","23.66666667","74.16666667","97.83333333","38.88888889","39.44444444","123.6111111","163.0555556"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00930","","","","10","4","2","1","3","2","2","4","1","3","0.14","0.06","5.15","4.41","0.2","5.35","4","0.14","0.02","0.05","1","0.4","0.25","0.1","0.05","0.02","1.2875","0.515","25","3.738317757","40","0.466666667","0.666666667","17.16666667","17.83333333","1.166666667","1.666666667","42.91666667","44.58333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00952","","","","10","4","2","1","1","1","2","4","22","28","7.8","1.2","13.11","6.12","9","22.11","50","0.354545455","0.042857143","0.18","12.5","5","5.5","2.2","2.25","0.9","3.2775","1.311","44","40.70556309","40","26","30","43.7","73.7","65","75","109.25","184.25"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00953","","","","10","2","2","2","1","2","2","2","14","15","3.8","0.52","9.19","6.12","4.32","13.51","29","0.271428571","0.034666667","0.148965517","14.5","2.9","7","1.4","2.16","0.432","4.595","0.919","48.27586207","31.97631384","20","12.66666667","14.4","30.63333333","45.03333333","63.33333333","72","153.1666667","225.1666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00975","","","","10","10","3","1","3","3","2","10","10","7","3","0.4","11.62","4.92","3.4","15.02","17","0.3","0.057142857","0.2","1.7","1.7","1","1","0.34","0.34","1.162","1.162","58.82352941","22.63648469","100","10","11.33333333","38.73333333","50.06666667","10","11.33333333","38.73333333","50.06666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00997","","","","10","5","2","1","4","","","5","6","2","2.8","0.04","17.21","1.04","2.84","20.05","8","0.466666667","0.02","0.355","1.6","0.8","1.2","0.6","0.568","0.284","3.442","1.721","75","14.16458853","50","9.333333333","9.466666667","57.36666667","66.83333333","18.66666667","18.93333333","114.7333333","133.6666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01020","","","","10","8","1","1","3","2","1","7","8","3","2.2","0.1","6.15","7.76","2.3","8.45","11","0.275","0.033333333","0.209090909","1.571428571","1.1","1.142857143","0.8","0.328571429","0.23","0.878571429","0.615","72.72727273","27.21893491","70","7.333333333","7.666666667","20.5","28.16666667","10.47619048","10.95238095","29.28571429","40.23809524"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01042","","","","10","5","2","1","2","2","1","5","9","0","6","0","10.15","7.76","6","16.15","9","0.666666667","","0.666666667","1.8","0.9","1.8","0.9","1.2","0.6","2.03","1.015","100","37.15170279","50","20","20","33.83333333","53.83333333","40","40","67.66666667","107.6666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01064","","","","10","4","1","1","1","","1","2","12","16","3.7","0.6","16.14","10.5","4.3","20.44","28","0.308333333","0.0375","0.153571429","14","2.8","6","1.2","2.15","0.43","8.07","1.614","42.85714286","21.037182","20","12.33333333","14.33333333","53.8","68.13333333","61.66666667","71.66666667","269","340.6666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01065","","","","10","4","2","1","1","","2","2","7","4","2.2","0.19","13.16","7.23","2.39","15.55","11","0.314285714","0.0475","0.217272727","5.5","1.1","3.5","0.7","1.195","0.239","6.58","1.316","63.63636364","15.36977492","20","7.333333333","7.966666667","43.86666667","51.83333333","36.66666667","39.83333333","219.3333333","259.1666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01087","","","","10","5","3","1","1","3","2","5","10","5","5","0.88","16.14","7.23","5.88","22.02","15","0.5","0.176","0.392","3","1.5","2","1","1.176","0.588","3.228","1.614","66.66666667","26.70299728","50","16.66666667","19.6","53.8","73.4","33.33333333","39.2","107.6","146.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01109","","","","10","6","2","1","2","2","1","6","6","10","1.5","0.4","12.21","7.23","1.9","14.11","16","0.25","0.04","0.11875","2.666666667","1.6","1","0.6","0.316666667","0.19","2.035","1.221","37.5","13.46562721","60","5","6.333333333","40.7","47.03333333","8.333333333","10.55555556","67.83333333","78.38888889"
