"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00015","","","","10","7","1.66","6","1.28","0.71","6","1.99","3.65","0.213333333","0.857142857","0.6","0.284285714","0.199","0.237142857","0.166","54.52054795","70","5.688888889","8.126984127","8.844444444","12.63492063","7.377777778","10.53968254","16.22222222","23.17460317","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00016","","","","10","7","1.82","6","0.97","0.57","5","1.54","3.36","0.161666667","0.857142857","0.6","0.22","0.154","0.26","0.182","45.83333333","70","4.311111111","6.158730159","6.844444444","9.777777778","8.088888889","11.55555556","14.93333333","21.33333333","0.15"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00017","","","","10","0","0","0","0","0","","0","0","","","0","","0","","0","","0","0","","0","","0","","0","",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00018","","","","10","4","0.71","6","0.71","0.41","5","1.12","1.83","0.118333333","1.5","0.6","0.28","0.112","0.1775","0.071","61.20218579","40","3.155555556","7.888888889","4.977777778","12.44444444","3.155555556","7.888888889","8.133333333","20.33333333","14.37"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00019","","","","10","5","1.55","6","1.74","0.31","5","2.05","3.6","0.29","1.2","0.6","0.41","0.205","0.31","0.155","56.94444444","50","7.733333333","15.46666667","9.111111111","18.22222222","6.888888889","13.77777778","16","32","1.65"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00020","","","","10","8","5.27","8","3.9","0","5","3.9","9.17","0.4875","1","0.8","0.4875","0.39","0.65875","0.527","42.52998909","80","17.33333333","21.66666667","17.33333333","21.66666667","23.42222222","29.27777778","40.75555556","50.94444444","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00021","","","","10","6","1.6","10","2.58","0.79","6","3.37","4.97","0.258","1.666666667","1","0.561666667","0.337","0.266666667","0.16","67.80684105","60","11.46666667","19.11111111","14.97777778","24.96296296","7.111111111","11.85185185","22.08888889","36.81481481","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00022","","","","10","4","0.09","4","1.46","0.21","6","1.67","1.76","0.365","1","0.4","0.4175","0.167","0.0225","0.009","94.88636364","40","6.488888889","16.22222222","7.422222222","18.55555556","0.4","1","7.822222222","19.55555556","0.03"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00023","","","","10","7","0.58","12","2.81","1.01","6","3.82","4.4","0.234166667","1.714285714","1.2","0.545714286","0.382","0.082857143","0.058","86.81818182","70","12.48888889","17.84126984","16.97777778","24.25396825","2.577777778","3.682539683","19.55555556","27.93650794","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00024","","","","10","6","1.13","8","2.12","0.51","6","2.63","3.76","0.265","1.333333333","0.8","0.438333333","0.263","0.188333333","0.113","69.94680851","60","9.422222222","15.7037037","11.68888889","19.48148148","5.022222222","8.37037037","16.71111111","27.85185185","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00025","","","","10","5","0","6","0.93","0.88","6","1.81","1.81","0.155","1.2","0.6","0.362","0.181","0","0","100","50","4.133333333","8.266666667","8.044444444","16.08888889","0","0","8.044444444","16.08888889","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00026","","","","10","2","2.37","4","0.74","0","6","0.74","3.11","0.185","2","0.4","0.37","0.074","1.185","0.237","23.79421222","20","3.288888889","16.44444444","3.288888889","16.44444444","10.53333333","52.66666667","13.82222222","69.11111111","1.17"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00027","","","","10","4","1.57","5","1.54","1.03","5","2.57","4.14","0.308","1.25","0.5","0.6425","0.257","0.3925","0.157","62.07729469","40","6.844444444","17.11111111","11.42222222","28.55555556","6.977777778","17.44444444","18.4","46","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00028","","","","10","3","0.3","3","0.66","0.72","6","1.38","1.68","0.22","1","0.3","0.46","0.138","0.1","0.03","82.14285714","30","2.933333333","9.777777778","6.133333333","20.44444444","1.333333333","4.444444444","7.466666667","24.88888889","4.92"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00029","","","","10","4","1.59","5","1.37","0.78","6","2.15","3.74","0.274","1.25","0.5","0.5375","0.215","0.3975","0.159","57.48663102","40","6.088888889","15.22222222","9.555555556","23.88888889","7.066666667","17.66666667","16.62222222","41.55555556","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00030","","","","10","5","1.81","10","4.28","1.27","6","5.55","7.36","0.428","2","1","1.11","0.555","0.362","0.181","75.4076087","50","19.02222222","38.04444444","24.66666667","49.33333333","8.044444444","16.08888889","32.71111111","65.42222222","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00031","","","","10","10","0.82","12","2.56","0.82","6","3.38","4.2","0.213333333","1.2","1.2","0.338","0.338","0.082","0.082","80.47619048","100","11.37777778","11.37777778","15.02222222","15.02222222","3.644444444","3.644444444","18.66666667","18.66666667","1.74"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00032","","","","10","5","1.38","9","4.14","1.26","5","5.4","6.78","0.46","1.8","0.9","1.08","0.54","0.276","0.138","79.6460177","50","18.4","36.8","24","48","6.133333333","12.26666667","30.13333333","60.26666667","0.15"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00033","","","","10","6","2.54","8","2.73","1.32","6","4.05","6.59","0.34125","1.333333333","0.8","0.675","0.405","0.423333333","0.254","61.45675266","60","12.13333333","20.22222222","18","30","11.28888889","18.81481481","29.28888889","48.81481481","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00034","","","","10","3","0.61","3","0.44","0","5","0.44","1.05","0.146666667","1","0.3","0.146666667","0.044","0.203333333","0.061","41.9047619","30","1.955555556","6.518518519","1.955555556","6.518518519","2.711111111","9.037037037","4.666666667","15.55555556","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00035","","","","10","3","0.91","2","0.51","0.36","6","0.87","1.78","0.255","0.666666667","0.2","0.29","0.087","0.303333333","0.091","48.87640449","30","2.266666667","7.555555556","3.866666667","12.88888889","4.044444444","13.48148148","7.911111111","26.37037037","1.17"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00036","","","","10","4","0.77","6","1.13","0.73","6","1.86","2.63","0.188333333","1.5","0.6","0.465","0.186","0.1925","0.077","70.72243346","40","5.022222222","12.55555556","8.266666667","20.66666667","3.422222222","8.555555556","11.68888889","29.22222222","0.03"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00037","","","","10","4","0.24","3","0.65","0.49","6","1.14","1.38","0.216666667","0.75","0.3","0.285","0.114","0.06","0.024","82.60869565","40","2.888888889","7.222222222","5.066666667","12.66666667","1.066666667","2.666666667","6.133333333","15.33333333","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00038","","","","10","6","4.71","9","3.83","1.57","6","5.4","10.11","0.425555556","1.5","0.9","0.9","0.54","0.785","0.471","53.41246291","60","17.02222222","28.37037037","24","40","20.93333333","34.88888889","44.93333333","74.88888889","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00039","","","","10","7","0.86","4","0.67","0.82","6","1.49","2.35","0.1675","0.571428571","0.4","0.212857143","0.149","0.122857143","0.086","63.40425532","70","2.977777778","4.253968254","6.622222222","9.46031746","3.822222222","5.46031746","10.44444444","14.92063492","10.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00040","","","","10","6","3.14","6","1.7","0.78","5","2.48","5.62","0.283333333","1","0.6","0.413333333","0.248","0.523333333","0.314","44.12811388","60","7.555555556","12.59259259","11.02222222","18.37037037","13.95555556","23.25925926","24.97777778","41.62962963","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00041","","","","10","1","0.1","3","0.29","0","6","0.29","0.39","0.096666667","3","0.3","0.29","0.029","0.1","0.01","74.35897436","10","1.288888889","12.88888889","1.288888889","12.88888889","0.444444444","4.444444444","1.733333333","17.33333333",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00042","","","","10","4","1.5","2","0.19","0","6","0.19","1.69","0.095","0.5","0.2","0.0475","0.019","0.375","0.15","11.24260355","40","0.844444444","2.111111111","0.844444444","2.111111111","6.666666667","16.66666667","7.511111111","18.77777778","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00043","","","","10","6","0.51","5","1.34","1.58","6","2.92","3.43","0.268","0.833333333","0.5","0.486666667","0.292","0.085","0.051","85.13119534","60","5.955555556","9.925925926","12.97777778","21.62962963","2.266666667","3.777777778","15.24444444","25.40740741","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00044","","","","10","6","4.32","9","3.7","1.6","5","5.3","9.62","0.411111111","1.5","0.9","0.883333333","0.53","0.72","0.432","55.09355509","60","16.44444444","27.40740741","23.55555556","39.25925926","19.2","32","42.75555556","71.25925926","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00045","","","","10","6","0.61","8","2.79","0.73","5","3.52","4.13","0.34875","1.333333333","0.8","0.586666667","0.352","0.101666667","0.061","85.23002421","60","12.4","20.66666667","15.64444444","26.07407407","2.711111111","4.518518519","18.35555556","30.59259259","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00046","","","","10","3","0.09","4","0.74","0.14","6","0.88","0.97","0.185","1.333333333","0.4","0.293333333","0.088","0.03","0.009","90.72164948","30","3.288888889","10.96296296","3.911111111","13.03703704","0.4","1.333333333","4.311111111","14.37037037","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00047","","","","10","6","1.13","7","2.14","0.53","6","2.67","3.8","0.305714286","1.166666667","0.7","0.445","0.267","0.188333333","0.113","70.26315789","60","9.511111111","15.85185185","11.86666667","19.77777778","5.022222222","8.37037037","16.88888889","28.14814815","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00048","","","","10","5","1.14","5","1.75","0.53","5","2.28","3.42","0.35","1","0.5","0.456","0.228","0.228","0.114","66.66666667","50","7.777777778","15.55555556","10.13333333","20.26666667","5.066666667","10.13333333","15.2","30.4","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00049","","","","10","0","0","0","0","0","","0","0","","","0","","0","","0","","0","0","","0","","0","","0","",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00050","","","","10","6","3.65","6","1.95","0.81","5","2.76","6.41","0.325","1","0.6","0.46","0.276","0.608333333","0.365","43.05772231","60","8.666666667","14.44444444","12.26666667","20.44444444","16.22222222","27.03703704","28.48888889","47.48148148","0.15"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00051","","","","10","2","0.57","4","1.01","0.42","6","1.43","2","0.2525","2","0.4","0.715","0.143","0.285","0.057","71.5","20","4.488888889","22.44444444","6.355555556","31.77777778","2.533333333","12.66666667","8.888888889","44.44444444","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00052","","","","10","6","1.51","8","2.72","0.24","6","2.96","4.47","0.34","1.333333333","0.8","0.493333333","0.296","0.251666667","0.151","66.21923937","60","12.08888889","20.14814815","13.15555556","21.92592593","6.711111111","11.18518519","19.86666667","33.11111111","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00053","","","","10","6","1.82","5","1.39","0.15","5","1.54","3.36","0.278","0.833333333","0.5","0.256666667","0.154","0.303333333","0.182","45.83333333","60","6.177777778","10.2962963","6.844444444","11.40740741","8.088888889","13.48148148","14.93333333","24.88888889","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00054","","","","10","4","2.77","9","3.97","0.56","5","4.53","7.3","0.441111111","2.25","0.9","1.1325","0.453","0.6925","0.277","62.05479452","40","17.64444444","44.11111111","20.13333333","50.33333333","12.31111111","30.77777778","32.44444444","81.11111111","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00055","","","","10","2","0.53","0","0","0","9","0","0.53","","0","0","0","0","0.265","0.053","0","20","0","0","0","0","2.355555556","11.77777778","2.355555556","11.77777778",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00056","","","","10","4","2.01","5","1.33","0.55","6","1.88","3.89","0.266","1.25","0.5","0.47","0.188","0.5025","0.201","48.32904884","40","5.911111111","14.77777778","8.355555556","20.88888889","8.933333333","22.33333333","17.28888889","43.22222222","10.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00057","","","","10","7","1.63","12","4.82","0.95","6","5.77","7.4","0.401666667","1.714285714","1.2","0.824285714","0.577","0.232857143","0.163","77.97297297","70","21.42222222","30.6031746","25.64444444","36.63492063","7.244444444","10.34920635","32.88888889","46.98412698","0.02"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00058","","","","10","7","2.52","4","1.25","0.54","5","1.79","4.31","0.3125","0.571428571","0.4","0.255714286","0.179","0.36","0.252","41.53132251","70","5.555555556","7.936507937","7.955555556","11.36507937","11.2","16","19.15555556","27.36507937","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00059","","","","10","3","0.66","0","0","0","9","0","0.66","","0","0","0","0","0.22","0.066","0","30","0","0","0","0","2.933333333","9.777777778","2.933333333","9.777777778",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00060","","","","10","9","2.29","9","3.15","1.11","6","4.26","6.55","0.35","1","0.9","0.473333333","0.426","0.254444444","0.229","65.03816794","90","14","15.55555556","18.93333333","21.03703704","10.17777778","11.30864198","29.11111111","32.34567901","10.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00061","","","","10","3","0.43","3","1.05","0.41","5","1.46","1.89","0.35","1","0.3","0.486666667","0.146","0.143333333","0.043","77.24867725","30","4.666666667","15.55555556","6.488888889","21.62962963","1.911111111","6.37037037","8.4","28","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00062","","","","10","6","1.15","10","2.75","0.86","6","3.61","4.76","0.275","1.666666667","1","0.601666667","0.361","0.191666667","0.115","75.84033613","60","12.22222222","20.37037037","16.04444444","26.74074074","5.111111111","8.518518519","21.15555556","35.25925926","0.02"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00063","","","","10","8","0.99","7","2.03","0.7","5","2.73","3.72","0.29","0.875","0.7","0.34125","0.273","0.12375","0.099","73.38709677","80","9.022222222","11.27777778","12.13333333","15.16666667","4.4","5.5","16.53333333","20.66666667","0.15"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00064","","","","10","4","0.09","7","1.57","0.38","5","1.95","2.04","0.224285714","1.75","0.7","0.4875","0.195","0.0225","0.009","95.58823529","40","6.977777778","17.44444444","8.666666667","21.66666667","0.4","1","9.066666667","22.66666667","14.37"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00065","","","","10","5","1.36","8","1.12","1.25","5","2.37","3.73","0.14","1.6","0.8","0.474","0.237","0.272","0.136","63.53887399","50","4.977777778","9.955555556","10.53333333","21.06666667","6.044444444","12.08888889","16.57777778","33.15555556","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00066","","","","10","0","0","0","0","0","","0","0","","","0","","0","","0","","0","0","","0","","0","","0","",""
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00067","","","","10","4","1.97","2","0.32","0.37","6","0.69","2.66","0.16","0.5","0.2","0.1725","0.069","0.4925","0.197","25.93984962","40","1.422222222","3.555555556","3.066666667","7.666666667","8.755555556","21.88888889","11.82222222","29.55555556","0.03"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00068","","","","10","9","4.3","12","3.94","1.3","5","5.24","9.54","0.328333333","1.333333333","1.2","0.582222222","0.524","0.477777778","0.43","54.92662474","90","17.51111111","19.45679012","23.28888889","25.87654321","19.11111111","21.2345679","42.4","47.11111111","1.32"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00069","","","","10","6","3.47","2","0.6","0.62","6","1.22","4.69","0.3","0.333333333","0.2","0.203333333","0.122","0.578333333","0.347","26.01279318","60","2.666666667","4.444444444","5.422222222","9.037037037","15.42222222","25.7037037","20.84444444","34.74074074","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00070","","","","10","3","1.06","3","0.82","0.21","5","1.03","2.09","0.273333333","1","0.3","0.343333333","0.103","0.353333333","0.106","49.28229665","30","3.644444444","12.14814815","4.577777778","15.25925926","4.711111111","15.7037037","9.288888889","30.96296296","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00071","","","","10","2","1.5","1","0.22","0.12","6","0.34","1.84","0.22","0.5","0.1","0.17","0.034","0.75","0.15","18.47826087","20","0.977777778","4.888888889","1.511111111","7.555555556","6.666666667","33.33333333","8.177777778","40.88888889","1.38"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00072","","","","10","4","0.68","5","1.9","0.1","6","2","2.68","0.38","1.25","0.5","0.5","0.2","0.17","0.068","74.62686567","40","8.444444444","21.11111111","8.888888889","22.22222222","3.022222222","7.555555556","11.91111111","29.77777778","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00073","","","","10","6","3.38","7","3.24","0.3","6","3.54","6.92","0.462857143","1.166666667","0.7","0.59","0.354","0.563333333","0.338","51.15606936","60","14.4","24","15.73333333","26.22222222","15.02222222","25.03703704","30.75555556","51.25925926","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00074","","","","10","7","1.18","13","4.83","0.68","6","5.51","6.69","0.371538462","1.857142857","1.3","0.787142857","0.551","0.168571429","0.118","82.36173393","70","21.46666667","30.66666667","24.48888889","34.98412698","5.244444444","7.492063492","29.73333333","42.47619048","0"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00075","","","","10","5","4.14","5","1.46","0.53","6","1.99","6.13","0.292","1","0.5","0.398","0.199","0.828","0.414","32.46329527","50","6.488888889","12.97777778","8.844444444","17.68888889","18.4","36.8","27.24444444","54.48888889","1.5"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00076","","","","10","5","0.54","7","2.17","0.33","6","2.5","3.04","0.31","1.4","0.7","0.5","0.25","0.108","0.054","82.23684211","50","9.644444444","19.28888889","11.11111111","22.22222222","2.4","4.8","13.51111111","27.02222222","3.96"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00077","","","","10","7","3.18","12","2.2","0.99","6","3.19","6.37","0.183333333","1.714285714","1.2","0.455714286","0.319","0.454285714","0.318","50.07849294","70","9.777777778","13.96825397","14.17777778","20.25396825","14.13333333","20.19047619","28.31111111","40.44444444","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00078","","","","10","5","0.33","5","1.44","0.44","6","1.88","2.21","0.288","1","0.5","0.376","0.188","0.066","0.033","85.0678733","50","6.4","12.8","8.355555556","16.71111111","1.466666667","2.933333333","9.822222222","19.64444444","0.12"
"","","PEP2017CSR-ST01","","","","","","","","","PEP2017CSR-ST01-00079","","","","10","3","0.69","3","1.42","0.39","6","1.81","2.5","0.473333333","1","0.3","0.603333333","0.181","0.23","0.069","72.4","30","6.311111111","21.03703704","8.044444444","26.81481481","3.066666667","10.22222222","11.11111111","37.03703704","5.49"
