"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00168","","","","10","10","1","3","1","7","2","9","17","27","0.75","7.3","4.1","3.76","8.05","12.15","44","0.27037037","0.044117647","0.182954545","4.888888889","4.4","3","2.7","0.894444444","0.805","0.455555556","0.41","61.36363636","66.25514403","90","24.33333333","26.83333333","13.66666667","40.5","27.03703704","29.81481481","15.18518519","45"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00169","","","","10","10","1","3","1","8","3","10","17","12","0.68","3.9","3","3.03","4.58","7.58","29","0.325","0.04","0.157931034","2.9","2.9","1.2","1.2","0.458","0.458","0.3","0.3","41.37931034","60.42216359","100","13","15.26666667","10","25.26666667","13","15.26666667","10","25.26666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00191","","","","10","10","1","2","1","7","3","10","20","23","0.8","5.3","3.3","4.92","6.1","9.4","43","0.230434783","0.04","0.141860465","4.3","4.3","2.3","2.3","0.61","0.61","0.33","0.33","53.48837209","64.89361702","100","17.66666667","20.33333333","11","31.33333333","17.66666667","20.33333333","11","31.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00213","","","","10","10","1","3","1","8","3","10","25","30","0.8","7","3.9","7.23","7.8","11.7","55","0.233333333","0.032","0.141818182","5.5","5.5","3","3","0.78","0.78","0.39","0.39","54.54545455","66.66666667","100","23.33333333","26","13","39","23.33333333","26","13","39"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00236","","","","10","10","3","4","1","7","3","10","13","24","0.6","5.8","3.1","5.46","6.4","9.5","37","0.241666667","0.046153846","0.172972973","3.7","3.7","2.4","2.4","0.64","0.64","0.31","0.31","64.86486486","67.36842105","100","19.33333333","21.33333333","10.33333333","31.66666667","19.33333333","21.33333333","10.33333333","31.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00258","","","","10","10","1","3","1","5","2","8","33","13","1.4","2.9","4","7.76","4.3","8.3","46","0.223076923","0.042424242","0.093478261","5.75","4.6","1.625","1.3","0.5375","0.43","0.5","0.4","28.26086957","51.80722892","80","9.666666667","14.33333333","13.33333333","27.66666667","12.08333333","17.91666667","16.66666667","34.58333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00280","","","","10","10","2","3","1","7","4","9","25","22","1","7.6","3","11.03","8.6","11.6","47","0.345454545","0.04","0.182978723","5.222222222","4.7","2.444444444","2.2","0.955555556","0.86","0.333333333","0.3","46.80851064","74.13793103","90","25.33333333","28.66666667","10","38.66666667","28.14814815","31.85185185","11.11111111","42.96296296"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00281","","","","10","10","1","4","1","7","3","9","14","12","0.8","2.7","3.5","4.41","3.5","7","26","0.225","0.057142857","0.134615385","2.888888889","2.6","1.333333333","1.2","0.388888889","0.35","0.388888889","0.35","46.15384615","50","90","9","11.66666667","11.66666667","23.33333333","10","12.96296296","12.96296296","25.92592593"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00303","","","","10","10","1","2","1","5","4","10","18","23","0.5","6.2","6","3.96","6.7","12.7","41","0.269565217","0.027777778","0.163414634","4.1","4.1","2.3","2.3","0.67","0.67","0.6","0.6","56.09756098","52.75590551","100","20.66666667","22.33333333","20","42.33333333","20.66666667","22.33333333","20","42.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00325","","","","10","10","3","2","1","7","2","10","3","32","0.24","8.6","2.5","7.76","8.84","11.34","35","0.26875","0.08","0.252571429","3.5","3.5","3.2","3.2","0.884","0.884","0.25","0.25","91.42857143","77.95414462","100","28.66666667","29.46666667","8.333333333","37.8","28.66666667","29.46666667","8.333333333","37.8"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00348","","","","10","10","2","2","1","7","3","10","38","24","1.5","5.3","2.4","6.12","6.8","9.2","62","0.220833333","0.039473684","0.109677419","6.2","6.2","2.4","2.4","0.68","0.68","0.24","0.24","38.70967742","73.91304348","100","17.66666667","22.66666667","8","30.66666667","17.66666667","22.66666667","8","30.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00370","","","","10","10","2","2","1","5","2","10","12","11","0.6","2.5","2","3.76","3.1","5.1","23","0.227272727","0.05","0.134782609","2.3","2.3","1.1","1.1","0.31","0.31","0.2","0.2","47.82608696","60.78431373","100","8.333333333","10.33333333","6.666666667","17","8.333333333","10.33333333","6.666666667","17"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00392","","","","10","10","3","3","1","7","3","10","6","23","0.32","7","3.1","11.03","7.32","10.42","29","0.304347826","0.053333333","0.252413793","2.9","2.9","2.3","2.3","0.732","0.732","0.31","0.31","79.31034483","70.24952015","100","23.33333333","24.4","10.33333333","34.73333333","23.33333333","24.4","10.33333333","34.73333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00393","","","","10","10","2","2","1","6","2","10","22","14","0.7","4","3","11.03","4.7","7.7","36","0.285714286","0.031818182","0.130555556","3.6","3.6","1.4","1.4","0.47","0.47","0.3","0.3","38.88888889","61.03896104","100","13.33333333","15.66666667","10","25.66666667","13.33333333","15.66666667","10","25.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00415","","","","10","10","4","3","1","6","2","10","21","19","0.6","4","2","11.03","4.6","6.6","40","0.210526316","0.028571429","0.115","4","4","1.9","1.9","0.46","0.46","0.2","0.2","47.5","69.6969697","100","13.33333333","15.33333333","6.666666667","22","13.33333333","15.33333333","6.666666667","22"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00437","","","","10","10","2","3","1","6","2","10","1","18","0.04","2.9","1.1","12.39","2.94","4.04","19","0.161111111","0.04","0.154736842","1.9","1.9","1.8","1.8","0.294","0.294","0.11","0.11","94.73684211","72.77227723","100","9.666666667","9.8","3.666666667","13.46666667","9.666666667","9.8","3.666666667","13.46666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00460","","","","10","10","3","2","1","7","2","10","18","16","0.1","3.3","1.9","11.03","3.4","5.3","34","0.20625","0.005555556","0.1","3.4","3.4","1.6","1.6","0.34","0.34","0.19","0.19","47.05882353","64.1509434","100","11","11.33333333","6.333333333","17.66666667","11","11.33333333","6.333333333","17.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00482","","","","10","10","1","3","1","6","1","9","21","24","0.74","9","6","11.03","9.74","15.74","45","0.375","0.035238095","0.216444444","5","4.5","2.666666667","2.4","1.082222222","0.974","0.666666667","0.6","53.33333333","61.88055909","90","30","32.46666667","20","52.46666667","33.33333333","36.07407407","22.22222222","58.2962963"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00504","","","","10","10","1","2","1","6","4","10","20","19","0.4","6.3","2","11.03","6.7","8.7","39","0.331578947","0.02","0.171794872","3.9","3.9","1.9","1.9","0.67","0.67","0.2","0.2","48.71794872","77.01149425","100","21","22.33333333","6.666666667","29","21","22.33333333","6.666666667","29"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00505","","","","10","10","1","3","1","7","4","9","22","12","1","2","4","3.76","3","7","34","0.166666667","0.045454545","0.088235294","3.777777778","3.4","1.333333333","1.2","0.333333333","0.3","0.444444444","0.4","35.29411765","42.85714286","90","6.666666667","10","13.33333333","23.33333333","7.407407407","11.11111111","14.81481481","25.92592593"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00527","","","","10","10","1","3","1","7","3","10","27","15","1.4","5.7","3","3.76","7.1","10.1","42","0.38","0.051851852","0.169047619","4.2","4.2","1.5","1.5","0.71","0.71","0.3","0.3","35.71428571","70.2970297","100","19","23.66666667","10","33.66666667","19","23.66666667","10","33.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00549","","","","10","10","1","3","1","7","5","10","17","15","0.6","6.3","2.3","10.5","6.9","9.2","32","0.42","0.035294118","0.215625","3.2","3.2","1.5","1.5","0.69","0.69","0.23","0.23","46.875","75","100","21","23","7.666666667","30.66666667","21","23","7.666666667","30.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00572","","","","10","10","1","3","1","4","3","9","28","13","1.4","6.2","2.6","10.5","7.6","10.2","41","0.476923077","0.05","0.185365854","4.555555556","4.1","1.444444444","1.3","0.844444444","0.76","0.288888889","0.26","31.70731707","74.50980392","90","20.66666667","25.33333333","8.666666667","34","22.96296296","28.14814815","9.62962963","37.77777778"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00594","","","","10","10","2","3","1","6","4","9","21","9","0.32","4","3","11.03","4.32","7.32","30","0.444444444","0.015238095","0.144","3.333333333","3","1","0.9","0.48","0.432","0.333333333","0.3","30","59.01639344","90","13.33333333","14.4","10","24.4","14.81481481","16","11.11111111","27.11111111"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00616","","","","10","10","1","3","1","5","3","8","3","4","0.06","1.1","2","11.03","1.16","3.16","7","0.275","0.02","0.165714286","0.875","0.7","0.5","0.4","0.145","0.116","0.25","0.2","57.14285714","36.70886076","80","3.666666667","3.866666667","6.666666667","10.53333333","4.583333333","4.833333333","8.333333333","13.16666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00617","","","","10","10","2","3","1","4","3","10","9","9","0.22","1.2","1.5","7.23","1.42","2.92","18","0.133333333","0.024444444","0.078888889","1.8","1.8","0.9","0.9","0.142","0.142","0.15","0.15","50","48.63013699","100","4","4.733333333","5","9.733333333","4","4.733333333","5","9.733333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00639","","","","10","10","1","3","1","6","4","10","24","26","1.2","7.9","5","7.76","9.1","14.1","50","0.303846154","0.05","0.182","5","5","2.6","2.6","0.91","0.91","0.5","0.5","52","64.53900709","100","26.33333333","30.33333333","16.66666667","47","26.33333333","30.33333333","16.66666667","47"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00661","","","","10","10","1","3","1","7","4","10","19","21","0.5","7.2","3.6","10.5","7.7","11.3","40","0.342857143","0.026315789","0.1925","4","4","2.1","2.1","0.77","0.77","0.36","0.36","52.5","68.14159292","100","24","25.66666667","12","37.66666667","24","25.66666667","12","37.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00684","","","","10","10","1","3","1","8","5","8","21","17","0.74","3","2.1","4.61","3.74","5.84","38","0.176470588","0.035238095","0.098421053","4.75","3.8","2.125","1.7","0.4675","0.374","0.2625","0.21","44.73684211","64.04109589","80","10","12.46666667","7","19.46666667","12.5","15.58333333","8.75","24.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00706","","","","10","10","3","3","1","5","2","10","6","9","0.2","2.4","2.5","10.5","2.6","5.1","15","0.266666667","0.033333333","0.173333333","1.5","1.5","0.9","0.9","0.26","0.26","0.25","0.25","60","50.98039216","100","8","8.666666667","8.333333333","17","8","8.666666667","8.333333333","17"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00728","","","","10","10","1","4","1","6","3","10","9","19","0.36","3.6","2.2","11.03","3.96","6.16","28","0.189473684","0.04","0.141428571","2.8","2.8","1.9","1.9","0.396","0.396","0.22","0.22","67.85714286","64.28571429","100","12","13.2","7.333333333","20.53333333","12","13.2","7.333333333","20.53333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00729","","","","10","10","1","3","1","7","4","9","6","26","0.7","1","1.3","4.41","1.7","3","32","0.038461538","0.116666667","0.053125","3.555555556","3.2","2.888888889","2.6","0.188888889","0.17","0.144444444","0.13","81.25","56.66666667","90","3.333333333","5.666666667","4.333333333","10","3.703703704","6.296296296","4.814814815","11.11111111"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00751","","","","10","10","1","3","1","6","3","9","43","36","1.5","7","2.4","7.76","8.5","10.9","79","0.194444444","0.034883721","0.107594937","8.777777778","7.9","4","3.6","0.944444444","0.85","0.266666667","0.24","45.56962025","77.98165138","90","23.33333333","28.33333333","8","36.33333333","25.92592593","31.48148148","8.888888889","40.37037037"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00773","","","","10","10","1","3","1","5","3","10","3","27","0.2","6","2","7.76","6.2","8.2","30","0.222222222","0.066666667","0.206666667","3","3","2.7","2.7","0.62","0.62","0.2","0.2","90","75.6097561","100","20","20.66666667","6.666666667","27.33333333","20","20.66666667","6.666666667","27.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00796","","","","10","10","1","3","1","7","3","10","8","14","0.64","2","6","3.96","2.64","8.64","22","0.142857143","0.08","0.12","2.2","2.2","1.4","1.4","0.264","0.264","0.6","0.6","63.63636364","30.55555556","100","6.666666667","8.8","20","28.8","6.666666667","8.8","20","28.8"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00818","","","","10","10","2","3","1","7","3","9","1","8","0.04","4.4","7.1","10.5","4.44","11.54","9","0.55","0.04","0.493333333","1","0.9","0.888888889","0.8","0.493333333","0.444","0.788888889","0.71","88.88888889","38.47487002","90","14.66666667","14.8","23.66666667","38.46666667","16.2962963","16.44444444","26.2962963","42.74074074"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00840","","","","10","10","1","3","1","5","4","10","15","21","0.6","6","6","11.03","6.6","12.6","36","0.285714286","0.04","0.183333333","3.6","3.6","2.1","2.1","0.66","0.66","0.6","0.6","58.33333333","52.38095238","100","20","22","20","42","20","22","20","42"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00841","","","","10","10","1","3","1","7","4","10","9","9","0.28","1.2","1.9","7.76","1.48","3.38","18","0.133333333","0.031111111","0.082222222","1.8","1.8","0.9","0.9","0.148","0.148","0.19","0.19","50","43.78698225","100","4","4.933333333","6.333333333","11.26666667","4","4.933333333","6.333333333","11.26666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00863","","","","10","10","2","3","1","5","4","10","29","20","1.6","4.2","3","10.5","5.8","8.8","49","0.21","0.055172414","0.118367347","4.9","4.9","2","2","0.58","0.58","0.3","0.3","40.81632653","65.90909091","100","14","19.33333333","10","29.33333333","14","19.33333333","10","29.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00885","","","","10","10","3","3","1","6","4","10","18","10","0.44","1.8","2.4","3.03","2.24","4.64","28","0.18","0.024444444","0.08","2.8","2.8","1","1","0.224","0.224","0.24","0.24","35.71428571","48.27586207","100","6","7.466666667","8","15.46666667","6","7.466666667","8","15.46666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00908","","","","10","10","1","3","1","6","3","10","32","19","1.2","3.8","2.9","7.76","5","7.9","51","0.2","0.0375","0.098039216","5.1","5.1","1.9","1.9","0.5","0.5","0.29","0.29","37.25490196","63.29113924","100","12.66666667","16.66666667","9.666666667","26.33333333","12.66666667","16.66666667","9.666666667","26.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00930","","","","10","10","1","2","1","7","2","8","14","20","0.46","7.8","3.2","4.61","8.26","11.46","34","0.39","0.032857143","0.242941176","4.25","3.4","2.5","2","1.0325","0.826","0.4","0.32","58.82352941","72.07678883","80","26","27.53333333","10.66666667","38.2","32.5","34.41666667","13.33333333","47.75"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00952","","","","10","10","1","3","1","7","2","10","14","17","0.6","4","3.4","11.03","4.6","8","31","0.235294118","0.042857143","0.148387097","3.1","3.1","1.7","1.7","0.46","0.46","0.34","0.34","54.83870968","57.5","100","13.33333333","15.33333333","11.33333333","26.66666667","13.33333333","15.33333333","11.33333333","26.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00953","","","","10","10","2","3","1","6","4","10","13","34","0.8","2.2","2.1","4.61","3","5.1","47","0.064705882","0.061538462","0.063829787","4.7","4.7","3.4","3.4","0.3","0.3","0.21","0.21","72.34042553","58.82352941","100","7.333333333","10","7","17","7.333333333","10","7","17"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00975","","","","10","10","4","3","1","6","3","9","13","13","0.6","4.3","2.7","10.5","4.9","7.6","26","0.330769231","0.046153846","0.188461538","2.888888889","2.6","1.444444444","1.3","0.544444444","0.49","0.3","0.27","50","64.47368421","90","14.33333333","16.33333333","9","25.33333333","15.92592593","18.14814815","10","28.14814815"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00997","","","","10","10","1","2","1","5","2","9","13","15","0.6","4.2","3","7.76","4.8","7.8","28","0.28","0.046153846","0.171428571","3.111111111","2.8","1.666666667","1.5","0.533333333","0.48","0.333333333","0.3","53.57142857","61.53846154","90","14","16","10","26","15.55555556","17.77777778","11.11111111","28.88888889"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01020","","","","10","10","8","4","2","5","2","9","45","16","2.4","3.6","2.3","11.03","6","8.3","61","0.225","0.053333333","0.098360656","6.777777778","6.1","1.777777778","1.6","0.666666667","0.6","0.255555556","0.23","26.2295082","72.28915663","90","12","20","7.666666667","27.66666667","13.33333333","22.22222222","8.518518519","30.74074074"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01042","","","","10","10","3","6","2","3","1","10","19","27","0.6","4.7","2.9","11.03","5.3","8.2","46","0.174074074","0.031578947","0.115217391","4.6","4.6","2.7","2.7","0.53","0.53","0.29","0.29","58.69565217","64.63414634","100","15.66666667","17.66666667","9.666666667","27.33333333","15.66666667","17.66666667","9.666666667","27.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01064","","","","10","10","9","2","1","3","3","10","9","18","0.4","4.5","4","12.39","4.9","8.9","27","0.25","0.044444444","0.181481481","2.7","2.7","1.8","1.8","0.49","0.49","0.4","0.4","66.66666667","55.05617978","100","15","16.33333333","13.33333333","29.66666667","15","16.33333333","13.33333333","29.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01065","","","","10","10","8","4","2","3","1","10","21","12","0.8","2.6","1.2","4.61","3.4","4.6","33","0.216666667","0.038095238","0.103030303","3.3","3.3","1.2","1.2","0.34","0.34","0.12","0.12","36.36363636","73.91304348","100","8.666666667","11.33333333","4","15.33333333","8.666666667","11.33333333","4","15.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01087","","","","10","10","8","4","2","3","2","10","11","6","0.6","1.6","1.5","3.03","2.2","3.7","17","0.266666667","0.054545455","0.129411765","1.7","1.7","0.6","0.6","0.22","0.22","0.15","0.15","35.29411765","59.45945946","100","5.333333333","7.333333333","5","12.33333333","5.333333333","7.333333333","5","12.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01109","","","","10","10","8","2","2","3","1","10","13","19","0.56","3.6","2","3.03","4.16","6.16","32","0.189473684","0.043076923","0.13","3.2","3.2","1.9","1.9","0.416","0.416","0.2","0.2","59.375","67.53246753","100","12","13.86666667","6.666666667","20.53333333","12","13.86666667","6.666666667","20.53333333"
